pub_year,doc_type,n_hits,n_metaphor,share_metaphor,lo95,hi95
2014,Research Article,10633,2348,0.22082196934073167,0.21303933553720758,0.22880625152128045
2014,Review,2291,769,0.3356612832824094,0.31661397403782915,0.35525878340008016
2015,Case Report,468,191,0.4081196581196581,0.3645147422202481,0.4532206466645146
2015,Clinical Trial,449,89,0.19821826280623608,0.16397149121178345,0.23758506965225967
2015,Comment/Reply,82,17,0.2073170731707317,0.13366390372744102,0.3071657296521299
2015,Conference,4,1,0.25,0.04558726080970055,0.6993581574175981
2015,Editorial,39,9,0.23076923076923078,0.1264580412514285,0.3833625722834177
2015,Guideline,7,3,0.42857142857142855,0.15821985525146975,0.7495416354723428
2015,Letter/Correspondence,20,2,0.1,0.027866481213768224,0.3010336452284873
2015,Meta-analysis,29,5,0.1724137931034483,0.0759785725289123,0.34548439890195237
2015,Other/Unclear,26,2,0.07692307692307693,0.0213550884722762,0.2414155377162906
2015,Research Article,11814,2597,0.21982393770103267,0.21244802833127943,0.2273819928221257
2015,Review,2372,764,0.3220910623946037,0.3035870551008978,0.34117038573484737
2016,Case Report,522,200,0.3831417624521073,0.3424345721365377,0.4255563347166236
2016,Clinical Trial,438,97,0.22146118721461186,0.18509001091953073,0.2626757088224483
2016,Comment/Reply,67,20,0.29850746268656714,0.20231511276602715,0.41655213743643765
2016,Conference,4,3,0.75,0.30064184258240184,0.9544127391902995
2016,Editorial,52,10,0.19230769230769232,0.10796046024733508,0.3189886081365802
2016,Guideline,2,1,0.5,0.09453120573423074,0.9054687942657693
2016,Letter/Correspondence,24,6,0.25,0.11999366228595004,0.44899444005154004
2016,Meta-analysis,39,11,0.28205128205128205,0.16543492088847678,0.43775319483020825
2016,Other/Unclear,24,2,0.08333333333333333,0.023158815297043306,0.25848802193210685
2016,Research Article,12413,2745,0.22113912833319907,0.21392518687083767,0.22852561489227657
2016,Review,2663,863,0.3240705970709726,0.30655905773814196,0.342088972349724
2017,Case Report,500,203,0.406,0.3638304421340635,0.4496029338727085
2017,Clinical Trial,451,92,0.2039911308203991,0.1693743771534313,0.24360789431260121
2017,Comment/Reply,56,15,0.26785714285714285,0.16957305418501728,0.39594555929155156
2017,Conference,5,0,0.0,0.0,0.43448246478317476
2017,Editorial,48,14,0.2916666666666667,0.18241578926516536,0.431792598095717
2017,Guideline,12,3,0.25,0.08894166839405471,0.5323053349335657
2017,Letter/Correspondence,32,7,0.21875,0.11023836252604186,0.3875499364924353
2017,Meta-analysis,33,10,0.30303030303030304,0.17375531424053606,0.47338135145800575
2017,Other/Unclear,18,4,0.2222222222222222,0.09000928108601694,0.45214584316212625
2017,Research Article,11689,2566,0.21952262811190007,0.21211167558196667,0.2271178715651371
2017,Review,2856,886,0.31022408963585435,0.2935232169304938,0.3274347922428515
2018,Case Report,582,267,0.4587628865979381,0.4186821539594816,0.4993844163091632
2018,Clinical Trial,513,108,0.21052631578947367,0.1774647995996539,0.24789089714015217
2018,Comment/Reply,86,32,0.37209302325581395,0.2774625064181545,0.4776616835851749
2018,Conference,10,6,0.6,0.31267376973365824,0.8318196702937638
2018,Editorial,45,9,0.2,0.10896126807831287,0.33822969116142027
2018,Guideline,10,0,0.0,0.0,0.2775327998628892
2018,Letter/Correspondence,36,5,0.1388888888888889,0.06081815009132838,0.286595303893562
2018,Meta-analysis,34,7,0.20588235294117646,0.10349526899031913,0.36798388051163594
2018,Other/Unclear,23,7,0.30434782608695654,0.15604024453214022,0.508657562687592
2018,Research Article,12530,2699,0.21540303272146846,0.20829266796320722,0.2226878479917913
2018,Review,3235,1074,0.33199381761978364,0.315973441033838,0.34841272487753966
2019,Case Report,667,299,0.4482758620689655,0.41093762834252817,0.486206474645235
2019,Clinical Trial,505,112,0.22178217821782178,0.1877245352396101,0.26004058859433643
2019,Comment/Reply,112,28,0.25,0.17900299692765526,0.33757767660581667
2019,Conference,6,0,0.0,2.7755575615628914e-17,0.3903342879021653
2019,Editorial,71,23,0.323943661971831,0.2265721171064956,0.4393884294417052
2019,Guideline,2,1,0.5,0.09453120573423074,0.9054687942657693
2019,Letter/Correspondence,43,9,0.20930232558139536,0.11422834220995602,0.3520564271073644
2019,Meta-analysis,40,10,0.25,0.14187118639096302,0.40193961420768026
2019,Other/Unclear,19,9,0.47368421052631576,0.2732980516117956,0.6829219075488682
2019,Research Article,13616,2931,0.21526145710928318,0.2084387797326224,0.22224475476782993
2019,Review,3392,1164,0.3431603773584906,0.3273687351911044,0.35930686115151617
2020,Case Report,824,339,0.41140776699029125,0.3782952629025444,0.4453424657417963
2020,Clinical Trial,549,120,0.2185792349726776,0.18602881866769963,0.2550405963158472
2020,Comment/Reply,85,25,0.29411764705882354,0.207855270788822,0.3981845166640227
2020,Editorial,181,46,0.2541436464088398,0.19628078907502766,0.32222549967735326
2020,Guideline,14,5,0.35714285714285715,0.1634473175355414,0.612355768960926
2020,Letter/Correspondence,124,23,0.18548387096774194,0.1268975225128448,0.26297176778209763
2020,Meta-analysis,41,7,0.17073170731707318,0.08525251977594998,0.3126261240040417
2020,Other/Unclear,46,4,0.08695652173913043,0.03433586789472588,0.2032466407411883
2020,Research Article,18300,4179,0.22836065573770492,0.2223361208745014,0.23449920943760033
2020,Review,5214,1598,0.3064825469888761,0.29411487137005327,0.3191351639316909
2021,Case Report,939,435,0.46325878594249204,0.43157912539324333,0.4952378390555781
2021,Clinical Trial,560,114,0.20357142857142857,0.1722942576632735,0.23888774251387468
2021,Comment/Reply,95,27,0.28421052631578947,0.20328420162859612,0.3819101035831764
2021,Conference,6,1,0.16666666666666666,0.030053369748306635,0.5635028221864702
2021,Editorial,122,25,0.20491803278688525,0.14282957933809592,0.28502193577673135
2021,Guideline,15,6,0.4,0.1982449614134158,0.6425316987937539
2021,Letter/Correspondence,128,21,0.1640625,0.1098833164591933,0.23781807603707017
2021,Meta-analysis,80,17,0.2125,0.13712386717696146,0.31422155730596657
2021,Other/Unclear,49,10,0.20408163265306123,0.11481849605782132,0.3363700091951255
2021,Research Article,21714,4898,0.2255687574836511,0.22005841989704567,0.2311761780441089
2021,Review,6551,2036,0.3107922454587086,0.2996984770667829,0.32210778391241013
2022,Case Report,932,413,0.44313304721030045,0.4115390565436167,0.4751938948543943
2022,Clinical Trial,609,136,0.2233169129720854,0.1920327883570609,0.2580696889647291
2022,Comment/Reply,91,17,0.18681318681318682,0.12003755149503506,0.27895946195492294
2022,Conference,2,0,0.0,0.0,0.6576197724933469
2022,Editorial,128,26,0.203125,0.1425573819359227,0.2809926858514729
2022,Guideline,3,0,0.0,5.551115123125783e-17,0.5614970317550454
2022,Letter/Correspondence,68,13,0.19117647058823528,0.11527294030924927,0.30010641460020604
2022,Meta-analysis,65,16,0.24615384615384617,0.15757986855897987,0.3630578319587784
2022,Other/Unclear,56,13,0.23214285714285715,0.1409937910920862,0.35768153215010856
2022,Research Article,23934,5524,0.23080137043536392,0.22550682003308148,0.2361823208960508
2022,Review,6674,2055,0.30791129757267005,0.29694930590128815,0.3190942890521023
2023,Case Report,992,422,0.4254032258064516,0.39498280560171417,0.4563991601830143
2023,Clinical Trial,434,95,0.21889400921658986,0.18255062841737146,0.26017002974688097
2023,Comment/Reply,55,29,0.5272727272727272,0.3979154435522611,0.6530690163868067
2023,Editorial,134,35,0.26119402985074625,0.19421393448989094,0.3414845371633148
2023,Guideline,2,0,0.0,0.0,0.6576197724933469
2023,Letter/Correspondence,69,14,0.2028985507246377,0.1248933306790349,0.31224040244779294
2023,Meta-analysis,48,11,0.22916666666666666,0.13307826266911238,0.36539264090003454
2023,Other/Unclear,59,13,0.22033898305084745,0.13354197627929038,0.3413269936763709
2023,Research Article,22624,5593,0.24721534653465346,0.24163727793831766,0.25287924407216844
2023,Review,6124,1858,0.30339647289353366,0.29200860774786574,0.3150308340879189
2024,Case Report,990,417,0.4212121212121212,0.3908178817793053,0.4522154324224269
2024,Clinical Trial,556,114,0.20503597122302158,0.1735558038330337,0.24056404236247336
2024,Comment/Reply,19,7,0.3684210526315789,0.19149512745135075,0.5896046683519692
2024,Conference,3,0,0.0,5.551115123125783e-17,0.5614970317550454
2024,Editorial,135,23,0.17037037037037037,0.116293354677775,0.24268773961525997
2024,Guideline,11,2,0.18181818181818182,0.05136768974608513,0.4769805619608442
2024,Letter/Correspondence,56,12,0.21428571428571427,0.1270590424909565,0.33819463563405117
2024,Meta-analysis,35,6,0.17142857142857143,0.08102640053701589,0.3268228229904496
2024,Other/Unclear,70,8,0.11428571428571428,0.059061289466376454,0.20964221582154374
2024,Research Article,23578,5802,0.24607685130206125,0.24062064920439868,0.2516157810629597
2024,Review,6410,2080,0.3244929797191888,0.31313967381753866,0.3360565193771549
2025,Case Report,675,280,0.4148148148148148,0.37823097455942545,0.4523627546453556
2025,Clinical Trial,422,92,0.21800947867298578,0.18125492731334075,0.25985162755544466
2025,Comment/Reply,8,2,0.25,0.071479212752109,0.5907245696898311
2025,Conference,2,1,0.5,0.09453120573423074,0.9054687942657693
2025,Editorial,122,13,0.10655737704918032,0.06333699612142842,0.17379835736500793
2025,Guideline,17,5,0.29411764705882354,0.1327998961029523,0.5313311006653985
2025,Letter/Correspondence,48,7,0.14583333333333334,0.0724824932660371,0.2716717652474628
2025,Meta-analysis,23,5,0.21739130434782608,0.09663978026586204,0.4190348301626401
2025,Other/Unclear,42,8,0.19047619047619047,0.09982008281647739,0.3330077401003869
2025,Research Article,21307,5370,0.2520298493452856,0.24624508327818856,0.25790401283240866
2025,Review,5540,1742,0.3144404332129964,0.3023465549562759,0.3267914686917959
